evaluation_scope,topology,p,gamma,alpha_schedule,contrast,left,right,paired_seeds,precision_delta_mean,precision_delta_lo95,precision_delta_hi95,precision_delta_halfwidth95,precision_paired_n,recall_delta_mean,recall_delta_lo95,recall_delta_hi95,recall_delta_halfwidth95,recall_paired_n,f1_delta_mean,f1_delta_lo95,f1_delta_hi95,f1_delta_halfwidth95,f1_paired_n,exact_recovery_delta_mean,exact_recovery_delta_lo95,exact_recovery_delta_hi95,exact_recovery_delta_halfwidth95,exact_recovery_paired_n,fp_delta_mean,fp_delta_lo95,fp_delta_hi95,fp_delta_halfwidth95,fp_paired_n,fn_delta_mean,fn_delta_lo95,fn_delta_hi95,fn_delta_halfwidth95,fn_paired_n,trace_ci_tests_delta_mean,trace_ci_tests_delta_lo95,trace_ci_tests_delta_hi95,trace_ci_tests_delta_halfwidth95,trace_ci_tests_paired_n,trace_ci_n_eff_min_delta_mean,trace_ci_n_eff_min_delta_lo95,trace_ci_n_eff_min_delta_hi95,trace_ci_n_eff_min_delta_halfwidth95,trace_ci_n_eff_min_paired_n,trace_ci_n_eff_median_delta_mean,trace_ci_n_eff_median_delta_lo95,trace_ci_n_eff_median_delta_hi95,trace_ci_n_eff_median_delta_halfwidth95,trace_ci_n_eff_median_paired_n,trace_ci_effective_fraction_mean_delta_mean,trace_ci_effective_fraction_mean_delta_lo95,trace_ci_effective_fraction_mean_delta_hi95,trace_ci_effective_fraction_mean_delta_halfwidth95,trace_ci_effective_fraction_mean_paired_n,runtime_seconds_delta_mean,runtime_seconds_delta_lo95,runtime_seconds_delta_hi95,runtime_seconds_delta_halfwidth95,runtime_seconds_paired_n,missingness_mode,missing_rate_target
target_restriction_of_global,random_regular_d2,100,1.0,n_inverse_half,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.006666666666666687,-0.00841438108532139,0.021747714418654765,0.015081047751988076,10,0.0,0.0,0.0,0.0,10,0.003999999999999981,-0.005048628651192795,0.013048628651192757,0.009048628651192776,10,0.019999999999999997,-0.025243143255964086,0.06524314325596409,0.04524314325596408,10,-0.02,-0.06524314325596409,0.02524314325596409,0.04524314325596409,10,0.0,0.0,0.0,0.0,10,-95.5,-146.4063553648918,-44.59364463510819,50.90635536489181,10,-3631.7,-3793.035160536907,-3470.3648394630927,161.33516053690715,10,-2561.55,-2564.6610944123777,-2558.4389055876227,3.111094412377594,10,-0.5391113860211177,-0.5399245303147633,-0.5382982417274722,0.0008131442936455246,10,0.021639017539868632,-0.8670093195253445,0.9102873546050818,0.8886483370652132,10,,
target_restriction_of_global,small_world_k2,50,1.0,fixed_005,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.056666666666666685,0.014532595482243386,0.09880073785108998,0.0421340711844233,10,0.0,0.0,0.0,0.0,10,0.03533333333333334,0.009401531290854144,0.06126513537581254,0.025931802042479198,10,0.15,0.031972132191220276,0.26802786780877974,0.11802786780877972,10,-0.15,-0.2680278678087797,-0.03197213219122029,0.1180278678087797,10,0.0,0.0,0.0,0.0,10,-179.2,-263.3022317037963,-95.09776829620371,84.10223170379628,10,-1925.8,-1957.6310155662886,-1893.9689844337113,31.831015566288748,10,-1302.9,-1311.5663552880405,-1294.2336447119596,8.666355288040485,10,-0.5724712275147394,-0.5767071613776565,-0.5682352936518223,0.004235933862917088,10,-0.40179425114988165,-1.265905697863218,0.4623171955634545,0.8641114467133362,10,,
target_restriction_of_global,small_world_k2,50,1.0,n_inverse_half,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.0033333333333333435,-0.0042071905426606954,0.010873857209327382,0.007540523875994039,10,0.0,0.0,0.0,0.0,10,0.0019999999999999905,-0.0025243143255963977,0.006524314325596379,0.004524314325596388,10,0.009999999999999998,-0.012621571627982043,0.03262157162798204,0.02262157162798204,10,-0.01,-0.03262157162798204,0.012621571627982045,0.022621571627982045,10,0.0,0.0,0.0,0.0,10,-59.1,-96.61431468893012,-21.58568531106988,37.51431468893012,10,-1919.0,-1954.5173883358268,-1883.4826116641732,35.5173883358269,10,-1289.3,-1293.389300556992,-1285.2106994430078,4.089300556992183,10,-0.5597792568723439,-0.5634580763363751,-0.5561004374083126,0.003678819464031269,10,-0.09024050241981527,-1.0944505921400451,0.9139695873004147,1.00421008972023,10,,
target_restriction_of_global,small_world_k2,100,1.0,fixed_005,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.08033333333333335,0.043175897707035504,0.1174907689596312,0.03715743562629785,10,0.0,0.0,0.0,0.0,10,0.05087301587301589,0.026237436443007404,0.07550859530302437,0.024635579430008485,10,0.22000000000000003,0.1258188869750841,0.31418111302491597,0.09418111302491594,10,-0.25,-0.36310785813991026,-0.13689214186008974,0.11310785813991024,10,0.0,0.0,0.0,0.0,10,-1219.1,-1527.493313073127,-910.7066869268729,308.3933130731271,10,-3999.9,-4117.404712060128,-3882.3952879398717,117.50471206012843,10,-2579.7,-2582.900061875719,-2576.4999381242806,3.2000618757191073,10,-0.5674384982199315,-0.5694514177694421,-0.565425578670421,0.0020129195495106047,10,-7.7073496728701,-9.960250377145641,-5.4544489685945585,2.252900704275541,10,,
target_restriction_of_global,small_world_k2,100,1.0,n_inverse_half,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.011666666666666681,-0.00615089611498504,0.029484229448318404,0.01781756278165172,10,0.0,0.0,0.0,0.0,10,0.007333333333333347,-0.003783080088799454,0.018449746755466147,0.011116413422132801,10,0.029999999999999992,-0.018282911193318367,0.07828291119331834,0.04828291119331836,10,-0.030000000000000006,-0.07828291119331837,0.018282911193318367,0.04828291119331837,10,0.0,0.0,0.0,0.0,10,-192.0,-316.57210180271375,-67.42789819728627,124.57210180271373,10,-3966.1,-4082.025322325323,-3850.174677674677,115.92532232532308,10,-2562.35,-2565.171657586053,-2559.528342413947,2.8216575860527664,10,-0.5459802916101264,-0.5483544003619505,-0.5436061828583023,0.0023741087518241444,10,-1.2775242030300706,-4.755098003866709,2.2000495978065677,3.4775738008366384,10,,
global_whole_skeleton,er_expected_degree_2,50,1.0,fixed_005,logistic_minus_complete,complete,self_masking_logistic_population,10,0.07934858300046935,0.04291237795767457,0.11578478804326411,0.036436205042794774,10,-0.03082389918149513,-0.05235103460981355,-0.009296763753176705,0.021527135428318425,10,0.02513986669290057,0.00016830544827365138,0.050111427937527486,0.02497156124462692,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,-4.7,-6.667773353842886,-2.7322266461571143,1.9677733538428859,10,1.8,0.45956715563510175,3.1404328443648986,1.3404328443648983,10,-1084.9,-1584.1798835151726,-585.6201164848276,499.2798835151725,10,-2124.2,-2140.9284104683243,-2107.4715895316754,16.728410468324338,10,-1631.2,-1644.7972185117007,-1617.6027814882993,13.597218511700675,10,-0.6312972572316701,-0.6434503592086936,-0.6191441552546465,0.012153101977023583,10,-7.610931983000183,-11.651757105783801,-3.5701068602165646,4.040825122783619,10,,
global_whole_skeleton,er_expected_degree_2,50,1.0,n_inverse_half,logistic_minus_complete,complete,self_masking_logistic_population,10,0.02210198409526807,0.005048404537173128,0.03915556365336301,0.01705357955809494,10,-0.03376322278892217,-0.0597075518009689,-0.00781889377687545,0.025944329012046723,10,-0.006891251194363235,-0.027031362593824534,0.013248860205098065,0.0201401113994613,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,-1.2,-2.079368639657071,-0.32063136034292905,0.8793686396570709,10,2.0,0.3479539910847158,3.652046008915284,1.6520460089152842,10,-916.5,-1384.8736480999758,-448.1263519000242,468.3736480999758,10,-2124.2,-2140.9284104683243,-2107.4715895316754,16.728410468324338,10,-1620.05,-1640.275232723545,-1599.8247672764548,20.225232723545215,10,-0.6232242684132514,-0.6367528288591914,-0.6096957079673114,0.013528560445939967,10,-9.138597602099708,-13.481197784112048,-4.795997420087368,4.342600182012339,10,,
global_whole_skeleton,er_expected_degree_2,100,1.0,fixed_005,logistic_minus_complete,complete,self_masking_logistic_population,10,0.15281057513193685,0.11533498686169871,0.190286163402175,0.037475588270238135,10,-0.009034001590828022,-0.01574043833451432,-0.0023275648471417203,0.006706436743686301,10,0.08048129474286983,0.055172225264344184,0.10579036422139548,0.025309069478525646,10,0.0,0.0,0.0,0.0,10,-18.9,-22.910679822895723,-14.889320177104274,4.010679822895725,10,1.0,0.24594761240059837,1.7540523875994016,0.7540523875994016,10,-2926.8,-3903.0072294133206,-1950.5927705866795,976.2072294133206,10,-4255.5,-4265.867877572741,-4245.132122427259,10.367877572741005,10,-3168.1,-3318.6030575031477,-3017.596942496852,150.5030575031477,10,-0.6082702429970256,-0.6231741308375383,-0.5933663551565129,0.014903887840512666,10,-24.39431041150001,-34.89668883957543,-13.891931983424586,10.502378428075422,10,,
global_whole_skeleton,er_expected_degree_2,100,1.0,n_inverse_half,logistic_minus_complete,complete,self_masking_logistic_population,10,0.04713843792997581,0.023092792724830554,0.07118408313512106,0.024045645205145256,10,-0.011733450004300016,-0.01890041086669182,-0.0045664891419082134,0.007166960862391803,10,0.01863264446857884,0.0030561589104637858,0.034209130026693894,0.015576485558115053,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,-5.0,-7.3363458714723375,-2.663654128527662,2.336345871472338,10,1.3,0.4705423736406583,2.1294576263593417,0.8294576263593417,10,-1676.5,-2576.3673184032095,-776.6326815967903,899.8673184032097,10,-4255.5,-4265.867877572741,-4245.132122427259,10.367877572741005,10,-2963.4,-3195.017154856679,-2731.782845143321,231.61715485667884,10,-0.5952213704695664,-0.611363631449599,-0.5790791094895337,0.016142260980032654,10,-13.238961614899472,-20.114460440469458,-6.363462789329485,6.875498825569987,10,,
global_whole_skeleton,random_regular_d2,50,1.0,fixed_005,logistic_minus_complete,complete,self_masking_logistic_population,10,0.05389936122737714,0.02469963413796639,0.08309908831678789,0.029199727089410748,10,0.0,0.0,0.0,0.0,10,0.02838398717438857,0.012597745813898754,0.044170228534878384,0.015786241360489815,10,0.5,0.12297380620029918,0.8770261937997008,0.3770261937997008,10,-3.0,-4.719504003156335,-1.2804959968436647,1.7195040031563353,10,0.0,0.0,0.0,0.0,10,-113.8,-220.8041520480965,-6.7958479519034825,107.00415204809651,10,-1920.9,-1964.2149771586617,-1877.5850228413385,43.3149771586616,10,-1304.5,-1311.938030237615,-1297.061969762385,7.4380302376150675,10,-0.5710604152062083,-0.5748282296433018,-0.5672926007691148,0.003767814437093493,10,-1.060175846100128,-2.1889137084981742,0.06856201629791792,1.128737862398046,10,,
global_whole_skeleton,random_regular_d2,50,1.0,n_inverse_half,logistic_minus_complete,complete,self_masking_logistic_population,10,0.013214345567286723,-0.0008292723229106,0.027257963457484047,0.014043617890197323,10,0.0,0.0,0.0,0.0,10,0.006797037169780329,-0.0004913170329862776,0.014085391372546937,0.007288354202766607,10,0.3,-0.045550214413643764,0.6455502144136438,0.34555021441364375,10,-0.7,-1.4578132707183227,0.05781327071832265,0.7578132707183226,10,0.0,0.0,0.0,0.0,10,-31.0,-81.42237298567792,19.422372985677924,50.422372985677924,10,-1857.7,-1932.4022388271694,-1782.9977611728307,74.70223882716944,10,-1292.6,-1297.9127258503568,-1287.287274149643,5.312725850356852,10,-0.5566125953785968,-0.560354833310812,-0.5528703574463815,0.0037422379322153273,10,-0.5769971496002657,-1.6332486735729783,0.4792543743724469,1.0562515239727126,10,,
global_whole_skeleton,random_regular_d2,100,1.0,fixed_005,logistic_minus_complete,complete,self_masking_logistic_population,10,0.1161747827966082,0.10500758430056961,0.1273419812926468,0.011167198496038583,10,-0.0010000000000000009,-0.003262157162798208,0.0012621571627982062,0.002262157162798207,10,0.061734736070021536,0.05547501193576153,0.06799446020428154,0.0062597241342600045,10,0.2,-0.10162095503976065,0.5016209550397607,0.30162095503976066,10,-13.4,-14.838640264906228,-11.961359735093772,1.4386402649062289,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,-969.2,-1152.700720721562,-785.699279278438,183.50072072156203,10,-3902.6,-3930.921067341762,-3874.278932658238,28.321067341762053,10,-2577.4,-2581.203295529214,-2573.5967044707863,3.8032955292136412,10,-0.5615272687736831,-0.5624232089352972,-0.560631328612069,0.0008959401616141362,10,-6.996304004899912,-9.640805596489754,-4.35180241331007,2.644501591589842,10,,
