evaluation_scope,topology,p,missingness_mode,missing_rate_target,alpha_schedule,contrast,left,right,paired_seeds,precision_delta_mean,precision_delta_lo95,precision_delta_hi95,precision_delta_halfwidth95,precision_paired_n,recall_delta_mean,recall_delta_lo95,recall_delta_hi95,recall_delta_halfwidth95,recall_paired_n,f1_delta_mean,f1_delta_lo95,f1_delta_hi95,f1_delta_halfwidth95,f1_paired_n,exact_recovery_delta_mean,exact_recovery_delta_lo95,exact_recovery_delta_hi95,exact_recovery_delta_halfwidth95,exact_recovery_paired_n,fp_delta_mean,fp_delta_lo95,fp_delta_hi95,fp_delta_halfwidth95,fp_paired_n,fn_delta_mean,fn_delta_lo95,fn_delta_hi95,fn_delta_halfwidth95,fn_paired_n,trace_ci_tests_delta_mean,trace_ci_tests_delta_lo95,trace_ci_tests_delta_hi95,trace_ci_tests_delta_halfwidth95,trace_ci_tests_paired_n,trace_ci_n_eff_min_delta_mean,trace_ci_n_eff_min_delta_lo95,trace_ci_n_eff_min_delta_hi95,trace_ci_n_eff_min_delta_halfwidth95,trace_ci_n_eff_min_paired_n,trace_ci_n_eff_median_delta_mean,trace_ci_n_eff_median_delta_lo95,trace_ci_n_eff_median_delta_hi95,trace_ci_n_eff_median_delta_halfwidth95,trace_ci_n_eff_median_paired_n,trace_ci_effective_fraction_mean_delta_mean,trace_ci_effective_fraction_mean_delta_lo95,trace_ci_effective_fraction_mean_delta_hi95,trace_ci_effective_fraction_mean_delta_halfwidth95,trace_ci_effective_fraction_mean_paired_n,runtime_seconds_delta_mean,runtime_seconds_delta_lo95,runtime_seconds_delta_hi95,runtime_seconds_delta_halfwidth95,runtime_seconds_paired_n,gamma
global_whole_skeleton,er_expected_degree_2,150,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.0033977448963270927,-0.00794098689871276,0.001145497106058574,0.004543242002385667,10,0.001192498230714767,-0.0006111420307362756,0.0029961384921658096,0.0018036402614510425,10,-0.0011000778976486213,-0.003794145663095819,0.0015939898677985766,0.002694067765447198,10,-0.1,-0.3262157162798205,0.12621571627982048,0.22621571627982048,10,0.5,-0.195201951060053,1.195201951060053,0.695201951060053,10,-0.2,-0.5016209550397607,0.10162095503976065,0.30162095503976066,10,355.3,-17.2803369261772,727.8803369261773,372.5803369261772,10,397.6,392.2340284230818,402.96597157691826,5.365971576918228,10,1099.3,846.815368090068,1351.784631909932,252.484631909932,10,-0.0013284459755990464,-0.0028078416057980334,0.0001509496545999407,0.001479395630198987,10,2.2113621240000625,-1.3628269983674994,5.785551246367625,3.574189122367562,10,
global_whole_skeleton,er_expected_degree_2,150,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.004045858315136641,-0.000496280221827081,0.008587996852100363,0.004542138536963722,10,0.00127388535031846,-0.0016078435194881444,0.004155614220125064,0.0028817288698066044,10,0.002649501738810256,-0.000915527741919258,0.00621453121953977,0.003565029480729514,10,0.2,-0.10162095503976065,0.5016209550397607,0.30162095503976066,10,-0.6,-1.2911004288272876,0.09110042882728764,0.6911004288272876,10,-0.2,-0.652431432559641,0.25243143255964096,0.45243143255964097,10,435.3,100.1593740594335,770.4406259405665,335.1406259405665,10,361.7,350.23418774355133,373.16581225644865,11.465812256448649,10,921.7,708.5532372327021,1134.846762767298,213.14676276729793,10,-0.0016817409026741504,-0.003131453231933314,-0.00023202857341498673,0.0014497123292591637,10,4.452385591700386,-0.815916035120944,9.720687218521716,5.26830162682133,10,
global_whole_skeleton,random_regular_d2,20,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.004761904761904756,-0.02409855419255256,0.014574744668743048,0.019336649430647803,10,0.0,0.0,0.0,0.0,10,-0.0024390243902439046,-0.012343161903502556,0.007465113123014747,0.009904137513258651,10,-0.1,-0.5060696380436043,0.3060696380436043,0.4060696380436043,10,0.1,-0.3060696380436043,0.5060696380436043,0.4060696380436043,10,0.0,0.0,0.0,0.0,10,-4.6,-17.595978599693993,8.395978599693992,12.995978599693991,10,-204.0,-204.0,-204.0,0.0,10,-204.0,-204.0,-204.0,0.0,10,0.0,0.0,0.0,0.0,10,0.013556504300004279,-0.3452979161773746,0.37241092477738313,0.35885442047737887,10,
global_whole_skeleton,random_regular_d2,20,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.004761904761904756,-0.01553408172761048,0.006010272203800967,0.010772176965705723,10,-0.015000000000000003,-0.039141455596659186,0.009141455596659184,0.024141455596659186,10,-0.010266284849083296,-0.023258025961310644,0.002725456263144053,0.012991741112227348,10,-0.3,-0.6455502144136438,0.045550214413643764,0.34555021441364375,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,0.3,-0.18282911193318369,0.7828291119331836,0.4828291119331837,10,-3.2,-20.928411490975478,14.52841149097548,17.72841149097548,10,-53.0,-83.69836084186254,-22.301639158137462,30.698360841862538,10,-88.15,-115.65847290482085,-60.641527095179164,27.50847290482084,10,0.0006255251644018522,-0.004569962751710114,0.005821013080513819,0.005195487916111966,10,-0.1528238056999726,-0.5348126560868084,0.22916504468686325,0.38198885038683583,10,
global_whole_skeleton,random_regular_d2,20,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.0050000000000000044,-0.016310785813991036,0.006310785813991028,0.011310785813991033,10,0.0,0.0,0.0,0.0,10,-0.0024358974358974494,-0.007946280268354646,0.003074485396559747,0.005510382832457196,10,0.0,0.0,0.0,0.0,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,0.0,0.0,0.0,0.0,10,0.0,-6.004075549632292,6.004075549632292,6.004075549632292,10,-73.9,-98.56443001614079,-49.23556998385922,24.66443001614078,10,-92.45,-100.29622217941697,-84.60377782058303,7.846222179416968,10,0.0008287425115670877,-0.001460049776898743,0.0031175348000329183,0.0022887922884658306,10,0.08240334029999305,-0.12453337549755267,0.28934005609753877,0.20693671579754572,10,
global_whole_skeleton,random_regular_d2,50,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.1256663014999501,-0.8329403442356467,1.0842729472355468,0.9586066457355967,10,
global_whole_skeleton,random_regular_d2,50,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-0.11747663320002166,-0.9449822499287381,0.7100289835286948,0.8275056167287165,10,
global_whole_skeleton,random_regular_d2,50,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-0.6117833635999886,-1.910950291454196,0.6873835642542189,1.2991669278542075,10,
global_whole_skeleton,random_regular_d2,75,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.006393606393606399,-0.002513248416138548,0.015300461203351346,0.008906854809744947,10,0.0,0.0,0.0,0.0,10,0.003268030809395883,-0.0012688060533429138,0.0078048676721346796,0.004536836862738797,10,0.1,-0.3060696380436043,0.5060696380436043,0.4060696380436043,10,-0.5,-1.195201951060053,0.195201951060053,0.695201951060053,10,0.0,0.0,0.0,0.0,10,-24.3,-59.138607605291,10.538607605290995,34.838607605290996,10,401.0,401.0,401.0,0.0,10,401.0,401.0,401.0,0.0,10,0.0,0.0,0.0,0.0,10,-2.6272964960999388,-5.12949318633826,-0.12509980586161795,2.502196690238321,10,
global_whole_skeleton,random_regular_d2,75,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-47.7,-65.76596849915039,-29.634031500849616,18.065968499150387,10,86.0,-49.71686164621454,221.71686164621454,135.71686164621454,10,196.1,195.0098791090981,197.19012089090188,1.09012089090188,10,0.001273201663294865,0.0007390707309403257,0.0018073325956494044,0.0005341309323545393,10,-0.9835399737000895,-2.7070438735135536,0.7399639261133747,1.7235038998134642,10,
global_whole_skeleton,random_regular_d2,75,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-24.8,-51.02715179208171,1.427151792081709,26.22715179208171,10,111.2,5.899182655267339,216.50081734473267,105.30081734473266,10,196.75,195.6670747051659,197.8329252948341,1.0829252948340844,10,0.000847221055139058,1.082091304011241e-06,0.001693360018974105,0.0008461389638350468,10,-0.046735981800134316,-2.3074650450604604,2.2139930814601914,2.260729063260326,10,
