topology,p,seed,d_alg,depth_ok,oracle_edge_query_count,oracle_edge_partial_corr_min,oracle_edge_partial_corr_q10,oracle_edge_partial_corr_median,oracle_edge_partial_corr_below_001,oracle_edge_partial_corr_below_005,oracle_edge_partial_corr_below_010,oracle_edge_margin_finite,selected_edge_query_count,selected_edge_partial_corr_min,selected_edge_partial_corr_q10,selected_edge_partial_corr_median,selected_edge_partial_corr_max,selected_edge_partial_corr_below_001,selected_edge_partial_corr_below_005,selected_edge_partial_corr_below_010,selected_edge_query_retention_min,selected_edge_query_retention_q10,selected_edge_query_retention_median,selected_edge_query_retention_max,selected_edge_diagnostics_finite
er_expected_degree_2,20,0,3,True,261.0,0.006214152636760981,0.22233445043585362,0.5265930098318686,1.0,6.0,12.0,True,261.0,0.0056403843750073976,0.20508638983922442,0.4827821426719457,0.8283449687313192,1.0,7.0,13.0,0.17091965475664336,0.17278109715124995,0.24493419265621288,0.4939459186128804,True
er_expected_degree_2,20,1,3,True,224.0,0.02216486795607712,0.25312402021451647,0.4643337462529705,0.0,1.0,3.0,True,224.0,0.019584548336064034,0.22031248217496655,0.4057935594575601,0.7401343218844616,0.0,1.0,3.0,0.17002713117107113,0.17057135394842582,0.34409222352981106,0.49357291821032917,True
er_expected_degree_2,20,2,3,True,167.0,0.06323243645934737,0.2677093443608259,0.4783040487164804,0.0,0.0,5.0,True,167.0,0.05514563094541473,0.2315312344305909,0.43332734733090467,0.7785549328852118,0.0,0.0,6.0,0.17033031387942413,0.24210546509280204,0.34514550526715937,0.49343249270923295,True
er_expected_degree_2,20,3,3,True,128.0,0.2413269404524372,0.3652134321375583,0.5061042842127002,0.0,0.0,0.0,True,128.0,0.20582814863284346,0.3248121700544142,0.45512532653374504,0.741328455596698,0.0,0.0,0.0,0.1697604077830734,0.24189483480349844,0.3448992163514497,0.4943667335470751,True
er_expected_degree_2,20,4,3,False,,,,,,,,,,,,,,,,,,,,,
er_expected_degree_2,20,5,3,True,138.0,0.2673417439028274,0.36301107822936907,0.5379606777773682,0.0,0.0,0.0,True,138.0,0.23977838698663256,0.3270936282057187,0.49423815992952974,0.7685149165032681,0.0,0.0,0.0,0.1740777421110625,0.1748014085838734,0.34595136090833173,0.49403713781042735,True
er_expected_degree_2,20,6,3,True,166.0,0.1085989797270789,0.35101573650200796,0.5010512253349176,0.0,0.0,0.0,True,166.0,0.09487281853043936,0.31751535955336396,0.4464079090783394,0.6906296179929068,0.0,0.0,1.0,0.17058867355983706,0.17228984963202318,0.34527892040715347,0.4938827581811906,True
er_expected_degree_2,20,7,3,True,414.0,0.005799256080982275,0.23822985723175502,0.4553180988841158,4.0,8.0,20.0,True,414.0,0.005520228854476147,0.21100481661085566,0.41295891226438397,0.8134020080547214,4.0,8.0,21.0,0.1704505855184299,0.1719203207133517,0.24541628776835245,0.49480442307758554,True
er_expected_degree_2,20,8,3,True,100.0,0.13123282455378799,0.3008375872961095,0.4996176214853495,0.0,0.0,0.0,True,100.0,0.11293486266220891,0.26401456666947043,0.44428254605887496,0.7431967628510942,0.0,0.0,0.0,0.17065854694750313,0.24302362229491026,0.3454102784330943,0.49385856976669495,True
er_expected_degree_2,20,9,3,False,,,,,,,,,,,,,,,,,,,,,
er_expected_degree_2,50,0,3,True,930.0,0.0011210632414962866,0.2908657771036677,0.48225210048806555,11.0,16.0,18.0,True,930.0,0.0010081129114517169,0.25589348126504063,0.436911800573517,0.8480519619228494,12.0,16.0,18.0,0.1692538985844778,0.1722413623721238,0.2452130807184987,0.4947778268927345,True
er_expected_degree_2,50,1,3,True,828.0,0.0018792886167379027,0.24730301868878118,0.4335552265869247,8.0,12.0,25.0,True,828.0,0.001566074769106005,0.2179027209637069,0.3842268208755849,0.8333690808582503,8.0,13.0,30.0,0.1691936476820047,0.17059761226896172,0.2438424017770889,0.49513065780226395,True
er_expected_degree_2,50,2,3,False,,,,,,,,,,,,,,,,,,,,,
er_expected_degree_2,50,3,3,True,309.0,0.183929291448926,0.3053279846684975,0.5095751766164847,0.0,0.0,0.0,True,309.0,0.16173983889782634,0.26673123861722386,0.4551857132559306,0.7825353772318443,0.0,0.0,0.0,0.1699434952467077,0.24184275236552258,0.345427786917301,0.4944095233951414,True
er_expected_degree_2,50,4,3,True,704.0,0.1015604366486653,0.3005422692202018,0.46733781809713015,0.0,0.0,0.0,True,704.0,0.09170970544777678,0.2728161317314422,0.42713922193912535,0.7814677427873068,0.0,0.0,1.0,0.16965957253379707,0.1739209081690909,0.24600787431652826,0.49461715193103556,True
er_expected_degree_2,50,5,3,True,436.0,0.013022345396859134,0.3380845812329639,0.5056947157642041,0.0,2.0,2.0,True,436.0,0.0121097864967378,0.3035852355067432,0.4557749005227071,0.8228044459925248,0.0,2.0,2.0,0.16992634911240437,0.17436613358213976,0.344993863152967,0.4942785591035398,True
er_expected_degree_2,50,6,3,True,774.0,0.026512056126256782,0.27055532673768234,0.4652689056278888,0.0,4.0,9.0,True,774.0,0.023204042393687504,0.23595545840892082,0.41788964204949797,0.7845392918288194,0.0,5.0,10.0,0.16935354411863562,0.17159704387539354,0.24446587779732507,0.49411112127481516,True
er_expected_degree_2,50,7,3,True,1076.0,0.01622350534606136,0.1913925792637122,0.4670759209564853,0.0,18.0,30.0,True,1076.0,0.01443609853621557,0.1707651558816317,0.4224861593023739,0.8956152015822205,0.0,20.0,36.0,0.16888704180313363,0.17095973480660742,0.2441684361924577,0.495686525169686,True
er_expected_degree_2,50,8,3,True,581.0,0.002447397868096244,0.28531487942191713,0.45479814344150454,1.0,7.0,16.0,True,581.0,0.002276222731344775,0.2510387951492068,0.4056739447478795,0.8124970986478338,1.0,8.0,20.0,0.16937065177464009,0.17032109183537147,0.24364151295419062,0.4947804440275249,True
er_expected_degree_2,50,9,3,True,988.0,0.018989940886995064,0.20856733250000442,0.3962238674155083,0.0,5.0,46.0,True,988.0,0.017428329625019192,0.1828307001015374,0.3518740302576139,0.8651776483267467,0.0,27.0,46.0,0.16843692431901383,0.1690172531047649,0.24235318801849945,0.4947953601155073,True
er_expected_degree_2,75,0,3,True,815.0,0.20501776639028796,0.32144607501876793,0.47518438661740864,0.0,0.0,0.0,True,815.0,0.18224166670589514,0.2834390126284919,0.424128650416103,0.780000799303969,0.0,0.0,0.0,0.16976599877418597,0.17314869629698088,0.34469343094001864,0.494610169078026,True
er_expected_degree_2,75,1,3,True,1158.0,0.019260313535424473,0.2958313546706064,0.4835198716970638,0.0,3.0,7.0,True,1158.0,0.01669988505377462,0.26251258259202154,0.43649662388344945,0.8540960327503723,0.0,3.0,8.0,0.1689968309042994,0.17244272565198537,0.24522037362601984,0.4951313469508457,True
er_expected_degree_2,75,2,3,True,779.0,0.011548289085313313,0.3269262207981689,0.4960416922401465,0.0,1.0,1.0,True,779.0,0.010026656535639894,0.29118953706483486,0.4481617131762882,0.8434054213974623,0.0,1.0,1.0,0.16979884731490832,0.1740641011633563,0.24713804367325243,0.4953707395938794,True
er_expected_degree_2,75,3,3,True,375.0,0.20332970892294006,0.3333231966814006,0.5141529751847349,0.0,0.0,0.0,True,375.0,0.18264064588662512,0.2964831888769313,0.4600270201194146,0.8068905283305002,0.0,0.0,0.0,0.17122376699935093,0.24303649897601678,0.34587578851385603,0.49422345126865114,True
er_expected_degree_2,75,4,3,True,426.0,0.15976021622025655,0.33112838107488884,0.5044483648290647,0.0,0.0,0.0,True,426.0,0.14291699077614492,0.2962151223200895,0.4534005899839469,0.7961887129864575,0.0,0.0,0.0,0.17075529674740966,0.24241867406281076,0.3456240981141656,0.494902308302842,True
er_expected_degree_2,75,5,3,True,541.0,0.14630873418753443,0.32534241922484486,0.5084817563083371,0.0,0.0,0.0,True,541.0,0.12941534195875884,0.28973680497617627,0.4591774859224471,0.8733174284487327,0.0,0.0,0.0,0.1706167453193073,0.1720871500541972,0.34415160573476494,0.49443211604454423,True
er_expected_degree_2,75,6,3,True,1270.0,0.021535351675716706,0.3088409351023317,0.48123205928568114,0.0,15.0,16.0,True,1270.0,0.019112144750468858,0.27659733056721736,0.43441056330335676,0.8767810864516039,0.0,15.0,16.0,0.16970311635817437,0.17182223172977415,0.24486452987985846,0.49445676931571036,True
er_expected_degree_2,75,7,3,True,915.0,0.023264792057894373,0.28594944761847874,0.497977540720918,0.0,12.0,19.0,True,915.0,0.019700385298062898,0.24916489250019652,0.45150834718648375,0.8777727640616587,0.0,12.0,21.0,0.16922116073445972,0.17204093882373564,0.2467223886731412,0.4952859553905981,True
er_expected_degree_2,75,8,3,True,854.0,0.008072045616307822,0.29542764426071555,0.4780370655930124,2.0,5.0,28.0,True,854.0,0.007225968335205638,0.2614651951345267,0.42675471104820606,0.8230889685314756,3.0,7.0,34.0,0.16930387283156814,0.17113621410559848,0.24386888851544322,0.4941443844162731,True
er_expected_degree_2,75,9,3,True,1330.0,0.007496551337661052,0.26088290920528545,0.47148670274813587,2.0,22.0,32.0,True,1330.0,0.006760622440190339,0.23262593245382138,0.42667027504879085,0.8661058495229819,3.0,22.0,37.0,0.16915216681928485,0.17185489516451402,0.24431808411130648,0.49559781604712794,True
er_expected_degree_2,100,0,3,True,806.0,0.09163317198890213,0.33917366068981425,0.4863893882096279,0.0,0.0,1.0,True,806.0,0.07820926657859253,0.2999797742911928,0.4365423073750021,0.8170547125810599,0.0,0.0,2.0,0.16982146227002007,0.24163924569886394,0.34494675364882554,0.49432373167933896,True
er_expected_degree_2,100,1,3,False,,,,,,,,,,,,,,,,,,,,,
er_expected_degree_2,100,2,3,True,1189.0,0.04590525547720986,0.2832403448956594,0.4782262472369139,0.0,1.0,6.0,True,1189.0,0.03977461322747813,0.2508918246867514,0.4312895539713799,0.8558356422201422,0.0,3.0,9.0,0.16939815655830834,0.17184289036049033,0.24532463121181372,0.49543571466250963,True
er_expected_degree_2,100,3,3,True,857.0,0.010514099190557274,0.30856130875687654,0.4683332778946808,0.0,2.0,2.0,True,857.0,0.00960079897491906,0.26973598011560596,0.41754396954538014,0.8377687075586641,1.0,2.0,2.0,0.16930223476813636,0.17119622033575502,0.34414125245415306,0.49461149038294255,True
er_expected_degree_2,100,4,3,True,767.0,0.15976674379156863,0.3164204198443353,0.4830909160540754,0.0,0.0,0.0,True,767.0,0.14086903628081762,0.2798435889417265,0.4355944154215163,0.8089255005221638,0.0,0.0,0.0,0.16998280207761807,0.17203678573084127,0.3446560344707038,0.4946197177618359,True
er_expected_degree_2,100,5,3,True,489.0,0.2281211668525418,0.35454311065850747,0.5288901738063305,0.0,0.0,0.0,True,489.0,0.20157858830247316,0.3129389845874924,0.4746219481297289,0.8020875998981295,0.0,0.0,0.0,0.17105817331954146,0.24228633064133046,0.3457174617923299,0.4948381959720617,True
er_expected_degree_2,100,6,3,True,1686.0,0.017571772613760802,0.28089857813457336,0.45496515096165735,0.0,4.0,9.0,True,1686.0,0.016136206997790874,0.24591445503953438,0.4092962120067048,0.8770412715346052,0.0,4.0,10.0,0.16966345577717873,0.17106144292937836,0.24469068015786233,0.4948576780996994,True
